Sector,Dep,Impactado,Saldo,Desembolso_mes,Saldo Promedio,Deuda Sistea,Pasivo,Turismo,Sector de Impacto,Venta,Venta Formal,Pasivo_desembolso,Deuda rezagada va,Deuda rezagada vr,pasivo rezagada va,pasivo rezagada vr,Pasivo_desembolso da,Pasivo_desembolso dr
COMERCIO,Junín,0,192914.0203,0,96457.01013,99899.2,436.45,0,3,24060,11979,436.45,63227.6,1.724157113,-50009.4,-0.991348149,-50009.4,-0.991348149
SERVICIO,Lima,0,95490.07828,0,31830.02609,131166.06,2558.31,0,3,37240,0,2528.565,15119.64,0.130289586,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Cusco,0,47992.60814,0,15997.53605,15278.48,0.01,0,1,153550,0,0.01,-1672.68,-0.098676433,-0.01,-0.5,-0.01,-0.5
COMERCIO,Lambayeque,0,1623234.514,0,541078.1713,595165.15,651.24,0,3,265400,36291.92,651.24,16466.31,0.028454023,-252.8,-0.279633645,-252.8,-0.279633645
SERVICIO,Arequipa,0,92452.75399,0,30817.58466,30805.68,2558.31,1,3,24100,5000,2528.565,970.39,0.032524906,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Lima,0,431518.8198,0,143839.2623,154211.14,42126.6,0,4,69500,8333,42126.6,-5135.51,-0.032228541,-13996.05,-0.24938327,-13996.05,-0.24938327
COMERCIO,Ayacucho,0,1206728.953,0,402242.9843,582431.84,3075.91,0,1,169305,59329.08,3075.91,-3963.05,-0.00675833,-68119.61,-0.956796298,-68119.61,-0.956796298
COMERCIO,Ica,0,20006.30121,0,6668.76707,51428.83,0.29,0,1,25000,0,0.29,-3897.3,-0.070442303,-200.13,-0.998553039,-200.13,-0.998553039
SERVICIO,Junín,0,147059.3767,0,49019.79224,188172.55,2558.31,0,2,140300,112038.83,2528.565,-16311.07,-0.079767123,-3174.29,-0.550923754,-2548.5,-0.543144434
COMERCIO,Junín,0,100409.8251,0,33469.9417,35311.01,23849.39,0,1,54400,14065.67,23849.39,-4884.63,-0.121521389,21166.76,7.890301682,21166.76,7.890301682
SERVICIO,Lima,0,68645.83483,0,22881.94494,239473.54,77232.91,0,3,132400,100795.75,77232.91,-16945.76,-0.066086133,-399059.02,-0.837845437,-399059.02,-0.837845437
COMERCIO,Ucayali,0,125516.365,0,41838.78834,41440.54,0,0,4,70750,15632.83,0,0,0,-9253.43,-1,-9253.43,-1
SERVICIO,Piura,0,217817.3915,0,72605.79716,259047.62,9720.07,0,3,50000,8000,9720.07,-4166.43,-0.015829056,7720.98,3.862247323,7720.98,3.862247323
COMERCIO,Lima,0,14350.79804,0,4783.599347,169496.85,3358,0,3,96500,23628,3358,-2056.64,-0.011988331,-3632.01,-0.519600115,-3632.01,-0.519600115
INDUSTRIA,San Martín,0,1104470.492,0,368156.8308,381356.44,3197.45,0,1,20000,0,3197.45,-2433.89,-0.006341718,-7727.55,-0.707327231,-7727.55,-0.707327231
COMERCIO,Huánuco,0,190041.0106,0,63347.00353,94206.87,2558.31,0,1,15780,13000,2528.565,53881.23,1.336153127,-3174.29,-0.550923754,-2548.5,-0.543144434
